"ID","Orginal Price","Predicted Price"
3271300955,868000,835782
9830200380,653000,954260
4385700735,790000,446336
4385700765,850000,506431
1776460190,429900,577187
4040800360,420000,390090
9828700005,440000,341797
3024079063,850000,702660
6430500293,395000,402333
293910070,653750,709207
3449900030,423000,503571
7308900490,650000,683801
7852020250,725995,742862
3630200460,790000,627145
3425059141,999000,943782
259800410,445000,426855
6928600330,278000,293263
3905040070,540000,452099
2922701085,543000,471886
7974200777,531000,421717
6699300330,372000,412310
1118001360,1475000,1014966
1330850130,799990,851383
6880200030,352500,266395
4458300190,875000,581005
1771100440,360000,481367
8143100500,410000,447129
7424600020,620000,542736
9573120260,650000,590221
7853340330,384205,399262
34001304,480000,432215
1524079156,435000,387536
5430300171,430000,422396
1702901500,365000,285120
3751601501,382450,308038
5418650080,9e+05,1081146
2770601800,525000,346048
1523049115,234550,326603
1509700050,3e+05,344825
8731960050,302300,424492
5146000070,456150,544855
5021900090,1100000,605166
7550801206,624000,504258
3663500060,4e+05,550824
11200290,546000,447434
9474700020,310000,248331
616000140,315000,328960
722059020,550000,982855
8682220150,835000,559385
2922701175,535000,466971
9267200226,436110,540561
8658300315,425000,288038
1782000180,350000,314026
1221039058,310597,308624
461003835,825000,780265
8864000970,273500,277095
4222700130,279000,317708
1972202023,504500,653779
2725069164,785000,692049
4363700200,190000,295126
6431000749,349000,391159
7625702616,219000,273879
1771110720,330000,362563
8731951370,269000,328182
2473480560,350000,458902
7893800534,394250,421106
1561900180,395000,513472
3298700941,260000,285255
6713100031,476000,593528
7137900320,224500,213518
3205100080,468000,453052
4345000490,270000,286159
9558021010,381000,409026
724069070,950000,845467
3124049171,222000,328365
7839300185,225000,264756
5009600010,248000,250259
1922069099,354800,295154
8137500400,545000,485293
7582700075,1485000,1116877
9250900104,496000,496937
4178300040,841000,883238
3904920390,545000,473928
4305200070,561000,512502
7419500200,1420000,1388429
4157600120,580000,484044
7853321090,450000,405767
6021502300,549010,496839
7844200040,375000,346814
2968801130,360000,401673
1498303905,615000,556348
3383900048,550000,493098
5592900020,410000,685924
7519000585,520000,414155
